43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

      1080    952.39     -3.67     -6.20     82.59     -1.09      0.00      1.47      1.55    348.00      2.85     18.00      1.44     -0.31         0         0         2       128
      1090    952.49     -3.67     -6.26     82.22     -1.10      0.00      1.63      1.67    357.00      2.56     21.00      1.63     -0.08         0         0         2       128
      1100    952.62     -3.58     -6.12     82.53     -1.03      0.00      1.30      1.33    357.00      2.02      9.00      1.30     -0.06         0         0         2       128
      1110    952.92     -3.74     -6.18     83.07     -1.03      0.00      2.04      2.07    356.00      3.11    356.00      2.04     -0.15         0         0         2       128
      1120    953.06     -3.58     -6.12     82.48     -1.01      0.00      1.08      1.21    327.00      1.99    342.00      0.90     -0.59         0         0         2       128
      1130    953.29     -3.83     -6.34     82.67     -0.98      0.00      1.85      1.98    300.00      3.32    277.00      0.92     -1.60         0         0         2       128
      1140    953.48     -3.83     -6.20     83.60     -1.07      0.00      2.36      2.40    287.00      3.67    281.00      0.70     -2.25         0         0         2       128
      1150    953.54     -3.87     -6.16     84.03     -1.16      0.00      2.42      2.50    290.00      3.96    260.00      0.82     -2.27         0         0         2       128
      1160    953.61     -3.76     -6.21     83.05     -1.15      0.00      2.08      2.14    280.00      3.91    273.00      0.37     -2.04         0         0         2       128
      1170    953.82     -3.71     -6.04     83.78     -0.77      0.00      2.19      2.25    281.00      3.52    277.00      0.42     -2.15         0         0         2       128
      1180    954.00     -3.74     -5.96     84.56     -0.95      0.00      1.97      2.02    279.00      3.81    273.00      0.30     -1.95         0         0         2       128
